YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2024,1977,1977,1052,James Madison,12,32,64,72
2024,1976,1976,1063,Duke,4,8,64,64
2024,1975,1975,1018,Vermont,13,64,64,47
2024,1974,1974,1021,Texas Tech,6,64,64,67
2024,1973,1973,1037,North Carolina St.,11,4,64,80
2024,1972,1972,1050,Kentucky,3,64,64,76
2024,1971,1971,1035,Oakland,14,32,64,80
2024,1970,1970,1061,Florida,7,64,64,100
2024,1969,1969,1069,Colorado,10,32,64,102
2024,1968,1968,1047,Marquette,2,16,64,87
2024,1967,1967,1014,Western Kentucky,15,64,64,69
2024,1966,1966,1033,Purdue,1,2,64,78
2024,1965,1965,1058,Grambling St.,16,64,64,50
2024,1964,1964,1019,Utah St.,8,32,64,88
2024,1963,1963,1025,TCU,9,64,64,72
2024,1962,1962,1059,Gonzaga,5,16,64,86
2024,1961,1961,1046,McNeese St.,12,64,64,65
2024,1960,1960,1051,Kansas,4,32,64,93
2024,1959,1959,1030,Samford,13,64,64,89
2024,1958,1958,1028,South Carolina,6,64,64,73
2024,1957,1957,1034,Oregon,11,32,64,87
2024,1956,1956,1066,Creighton,3,16,64,77
2024,1955,1955,1079,Akron,14,64,64,60
2024,1954,1954,1023,Texas,7,32,64,56
2024,1953,1953,1068,Colorado St.,10,64,64,44
2024,1952,1952,1024,Tennessee,2,8,64,83
2024,1951,1951,1031,Saint Peter's,15,64,64,49
2024,1950,992,1067,Connecticut,1,1,32,75
2024,1949,991,1036,Northwestern,9,32,32,58
2024,1948,990,1029,San Diego St.,5,16,32,85
2024,1947,989,1012,Yale,13,32,32,57
2024,1946,988,1062,Duquesne,11,32,32,63
2024,1945,987,1054,Illinois,3,8,32,89
2024,1944,986,1015,Washington St.,7,32,32,56
2024,1943,985,1053,Iowa St.,2,16,32,67
2024,1942,984,1038,North Carolina,1,16,32,85
2024,1941,983,1045,Michigan St.,9,32,32,69
2024,1940,982,1057,Grand Canyon,12,32,32,61
2024,1939,981,1078,Alabama,4,4,32,72
2024,1938,980,1072,Clemson,6,8,32,72
2024,1937,979,1075,Baylor,3,32,32,64
2024,1936,978,1065,Dayton,7,32,32,68
2024,1935,977,1077,Arizona,2,16,32,78
2024,1934,976,1056,Houston,1,16,32,100
2024,1933,975,1022,Texas A&M,9,32,32,95
2024,1932,974,1052,James Madison,12,32,32,55
2024,1931,973,1063,Duke,4,8,32,93
2024,1930,972,1037,North Carolina St.,11,4,32,79
2024,1929,971,1035,Oakland,14,32,32,73
2024,1928,970,1069,Colorado,10,32,32,77
2024,1927,969,1047,Marquette,2,16,32,81
2024,1926,968,1033,Purdue,1,2,32,106
2024,1925,967,1019,Utah St.,8,32,32,67
2024,1924,966,1059,Gonzaga,5,16,32,89
2024,1923,965,1051,Kansas,4,32,32,68
2024,1922,964,1034,Oregon,11,32,32,73
2024,1921,963,1066,Creighton,3,16,32,86
2024,1920,962,1023,Texas,7,32,32,58
2024,1919,961,1024,Tennessee,2,8,32,62
2024,1918,480,1067,Connecticut,1,1,16,82
2024,1917,479,1029,San Diego St.,5,16,16,52
2024,1916,478,1054,Illinois,3,8,16,72
2024,1915,477,1053,Iowa St.,2,16,16,69
2024,1914,476,1038,North Carolina,1,16,16,87
2024,1913,475,1078,Alabama,4,4,16,89
2024,1912,474,1072,Clemson,6,8,16,77
2024,1911,473,1077,Arizona,2,16,16,72
2024,1910,472,1056,Houston,1,16,16,51
2024,1909,471,1063,Duke,4,8,16,54
2024,1908,470,1037,North Carolina St.,11,4,16,67
2024,1907,469,1047,Marquette,2,16,16,58
2024,1906,468,1033,Purdue,1,2,16,80
2024,1905,467,1059,Gonzaga,5,16,16,68
2024,1904,466,1066,Creighton,3,16,16,75
2024,1903,465,1024,Tennessee,2,8,16,82
2024,1902,224,1067,Connecticut,1,1,8,77
2024,1901,223,1054,Illinois,3,8,8,52
2024,1900,222,1078,Alabama,4,4,8,89
2024,1899,221,1072,Clemson,6,8,8,82
2024,1898,220,1063,Duke,4,8,8,64
2024,1897,219,1037,North Carolina St.,11,4,8,76
2024,1896,218,1033,Purdue,1,2,8,72
2024,1895,217,1024,Tennessee,2,8,8,66
2024,1894,96,1067,Connecticut,1,1,4,86
2024,1893,95,1078,Alabama,4,4,4,72
2024,1892,94,1037,North Carolina St.,11,4,4,50
2024,1891,93,1033,Purdue,1,2,4,63
2024,1890,32,1067,Connecticut,1,1,2,75
2024,1889,31,1033,Purdue,1,2,2,60
2023,1888,1950,1011,Alabama,1,16,64,96
2023,1887,1949,955,Texas A&M Corpus Chris,16,64,64,75
2023,1886,1948,979,Maryland,8,32,64,67
2023,1885,1947,945,West Virginia,9,64,64,65
2023,1884,1946,961,San Diego St.,5,2,64,63
2023,1883,1945,1003,College of Charleston,12,64,64,57
2023,1882,1944,946,Virginia,4,64,64,67
2023,1881,1943,996,Furman,13,32,64,68
2023,1880,1942,1001,Creighton,6,8,64,72
2023,1879,1941,971,North Carolina St.,11,64,64,63
2023,1878,1940,1006,Baylor,3,32,64,74
2023,1877,1939,953,UC Santa Barbara,14,64,64,56
2023,1876,1938,974,Missouri,7,32,64,76
2023,1875,1937,949,Utah St.,10,64,64,65
2023,1874,1936,1010,Arizona,2,64,64,55
2023,1873,1935,965,Princeton,15,16,64,59
2023,1872,1934,963,Purdue,1,64,64,58
2023,1871,1933,998,Fairleigh Dickinson,16,32,64,63
2023,1870,1932,978,Memphis,8,64,64,65
2023,1869,1931,997,Florida Atlantic,9,4,64,66
2023,1868,1930,999,Duke,5,32,64,74
2023,1867,1929,968,Oral Roberts,12,64,64,51
2023,1866,1928,958,Tennessee,4,16,64,58
2023,1865,1927,981,Louisiana Lafayette,13,64,64,55
2023,1864,1926,982,Kentucky,6,32,64,61
2023,1863,1925,964,Providence,11,64,64,53
2023,1862,1924,985,Kansas St.,3,8,64,77
2023,1861,1923,973,Montana St.,14,64,64,65
2023,1860,1922,976,Michigan St.,7,16,64,72
2023,1859,1921,950,USC,10,64,64,62
2023,1858,1920,980,Marquette,2,32,64,78
2023,1857,1919,947,Vermont,15,64,64,61
2023,1856,1918,993,Houston,1,16,64,63
2023,1855,1917,970,Northern Kentucky,16,64,64,52
2023,1854,1916,988,Iowa,8,64,64,75
2023,1853,1915,1007,Auburn,9,32,64,83
2023,1852,1914,977,Miami FL,5,4,64,63
2023,1851,1913,1000,Drake,12,64,64,56
2023,1850,1912,990,Indiana,4,32,64,71
2023,1849,1911,983,Kent St.,13,64,64,60
2023,1848,1910,987,Iowa St.,6,64,64,41
2023,1847,1909,966,Pittsburgh,11,32,64,59
2023,1846,1908,944,Xavier,3,16,64,72
2023,1845,1907,984,Kennesaw St.,14,64,64,67
2023,1844,1906,956,Texas A&M,7,64,64,59
2023,1843,1905,967,Penn St.,10,32,64,76
2023,1842,1904,957,Texas ,2,8,64,81
2023,1841,1903,1004,Colgate,15,64,64,61
2023,1840,1902,986,Kansas,1,32,64,96
2023,1839,1901,992,Howard,16,64,64,68
2023,1838,1900,1008,Arkansas,8,16,64,73
2023,1837,1899,991,Illinois,9,64,64,63
2023,1836,1898,962,Saint Mary's,5,32,64,63
2023,1835,1897,948,VCU,12,64,64,51
2023,1834,1896,1002,Connecticut,4,1,64,87
2023,1833,1895,989,Iona,13,64,64,63
2023,1832,1894,959,TCU,6,32,64,72
2023,1831,1893,1009,Arizona St.,11,64,64,70
2023,1830,1892,995,Gonzaga,3,8,64,82
2023,1829,1891,994,Grand Canyon,14,64,64,70
2023,1828,1890,969,Northwestern,7,32,64,75
2023,1827,1889,1005,Boise St.,10,64,64,67
2023,1826,1888,952,UCLA,2,16,64,86
2023,1825,1887,951,UNC Asheville,15,64,64,53
2023,1824,960,1011,Alabama,1,16,32,73
2023,1823,959,979,Maryland,8,32,32,51
2023,1822,958,961,San Diego St.,5,2,32,75
2023,1821,957,996,Furman,13,32,32,52
2023,1820,956,1001,Creighton,6,8,32,85
2023,1819,955,1006,Baylor,3,32,32,76
2023,1818,954,974,Missouri,7,32,32,63
2023,1817,953,965,Princeton,15,16,32,78
2023,1816,952,998,Fairleigh Dickinson,16,32,32,70
2023,1815,951,997,Florida Atlantic,9,4,32,78
2023,1814,950,999,Duke,5,32,32,52
2023,1813,949,958,Tennessee,4,16,32,65
2023,1812,948,982,Kentucky,6,32,32,69
2023,1811,947,985,Kansas St.,3,8,32,75
2023,1810,946,976,Michigan St.,7,16,32,69
2023,1809,945,980,Marquette,2,32,32,60
2023,1808,944,993,Houston,1,16,32,81
2023,1807,943,1007,Auburn,9,32,32,64
2023,1806,942,977,Miami FL,5,4,32,85
2023,1805,941,990,Indiana,4,32,32,69
2023,1804,940,966,Pittsburgh,11,32,32,73
2023,1803,939,944,Xavier,3,16,32,84
2023,1802,938,967,Penn St.,10,32,32,66
2023,1801,937,957,Texas ,2,8,32,71
2023,1800,936,986,Kansas,1,32,32,71
2023,1799,935,1008,Arkansas,8,16,32,72
2023,1798,934,962,Saint Mary's,5,32,32,55
2023,1797,933,1002,Connecticut,4,1,32,70
2023,1796,932,959,TCU,6,32,32,81
2023,1795,931,995,Gonzaga,3,8,32,84
2023,1794,930,969,Northwestern,7,32,32,63
2023,1793,929,952,UCLA,2,16,32,68
2023,1792,464,1011,Alabama,1,16,16,64
2023,1791,463,961,San Diego St.,5,2,16,71
2023,1790,462,1001,Creighton,6,8,16,86
2023,1789,461,965,Princeton,15,16,16,75
2023,1788,460,997,Florida Atlantic,9,4,16,62
2023,1787,459,958,Tennessee,4,16,16,55
2023,1786,458,985,Kansas St.,3,8,16,98
2023,1785,457,976,Michigan St.,7,16,16,93
2023,1784,456,993,Houston,1,16,16,75
2023,1783,455,977,Miami FL,5,4,16,89
2023,1782,454,944,Xavier,3,16,16,71
2023,1781,453,957,Texas ,2,8,16,83
2023,1780,452,1008,Arkansas,8,16,16,65
2023,1779,451,1002,Connecticut,4,1,16,88
2023,1778,450,995,Gonzaga,3,8,16,79
2023,1777,449,952,UCLA,2,16,16,76
2023,1776,216,961,San Diego St.,5,2,8,57
2023,1775,215,1001,Creighton,6,8,8,56
2023,1774,214,997,Florida Atlantic,9,4,8,79
2023,1773,213,985,Kansas St.,3,8,8,76
2023,1772,212,977,Miami FL,5,4,8,88
2023,1771,211,957,Texas ,2,8,8,81
2023,1770,210,1002,Connecticut,4,1,8,82
2023,1769,209,995,Gonzaga,3,8,8,54
2023,1768,92,961,San Diego St.,5,2,4,72
2023,1767,91,997,Florida Atlantic,9,4,4,71
2023,1766,90,977,Miami FL,5,4,4,59
2023,1765,89,1002,Connecticut,4,1,4,72
2023,1764,30,961,San Diego St.,5,2,2,59
2023,1763,29,1002,Connecticut,4,1,2,76
2022,1762,1886,925,Gonzaga,1,16,64,93
2022,1761,1885,926,Georgia St.,16,64,64,72
2022,1760,1884,937,Boise St.,8,64,64,53
2022,1759,1883,912,Memphis,9,32,64,64
2022,1758,1882,931,Connecticut,5,64,64,63
2022,1757,1881,906,New Mexico St.,12,32,64,70
2022,1756,1880,940,Arkansas,4,8,64,75
2022,1755,1879,882,Vermont,13,64,64,71
2022,1754,1878,942,Alabama,6,64,64,64
2022,1753,1877,903,Notre Dame,11,32,64,78
2022,1752,1876,886,Texas Tech,3,16,64,97
2022,1751,1875,908,Montana St.,14,64,64,62
2022,1750,1874,909,Michigan St.,7,32,64,74
2022,1749,1873,929,Davidson,10,64,64,73
2022,1748,1872,927,Duke,2,4,64,78
2022,1747,1871,935,Cal St. Fullerton,15,64,64,61
2022,1746,1870,938,Baylor,1,32,64,85
2022,1745,1869,905,Norfolk St.,16,64,64,49
2022,1744,1868,904,North Carolina,8,2,64,95
2022,1743,1867,913,Marquette,9,64,64,63
2022,1742,1866,897,Saint Mary's,5,32,64,82
2022,1741,1865,922,Indiana,12,64,64,53
2022,1740,1864,884,UCLA,4,16,64,57
2022,1739,1863,943,Akron,13,64,64,53
2022,1738,1862,889,Texas,6,32,64,81
2022,1737,1861,880,Virginia Tech,11,64,64,73
2022,1736,1860,900,Purdue,3,16,64,78
2022,1735,1859,876,Yale,14,64,64,56
2022,1734,1858,907,Murray St.,7,32,64,92
2022,1733,1857,894,San Francisco,10,64,64,87
2022,1732,1856,917,Kentucky,2,64,64,79
2022,1731,1855,896,Saint Peter's,15,8,64,85
2022,1730,1854,941,Arizona,1,16,64,87
2022,1729,1853,878,Wright St.,16,64,64,70
2022,1728,1852,893,Seton Hall,8,64,64,42
2022,1727,1851,891,TCU,9,32,64,69
2022,1726,1850,924,Houston,5,8,64,82
2022,1725,1849,885,UAB,12,64,64,68
2022,1724,1848,923,Illinois,4,32,64,54
2022,1723,1847,934,Chattanooga,13,64,64,53
2022,1722,1846,932,Colorado St.,6,64,64,63
2022,1721,1845,910,Michigan,11,16,64,75
2022,1720,1844,890,Tennessee,3,32,64,88
2022,1719,1843,916,Longwood,14,64,64,56
2022,1718,1842,902,Ohio St.,7,32,64,54
2022,1717,1841,915,Loyola Chicago,10,64,64,41
2022,1716,1840,881,Villanova,2,4,64,80
2022,1715,1839,928,Delaware,15,64,64,60
2022,1714,1838,918,Kansas,1,1,64,83
2022,1713,1837,887,Texas Southern,16,64,64,56
2022,1712,1836,895,San Diego St.,8,64,64,69
2022,1711,1835,930,Creighton,9,32,64,72
2022,1710,1834,921,Iowa,5,64,64,63
2022,1709,1833,899,Richmond,12,32,64,67
2022,1708,1832,901,Providence,4,16,64,66
2022,1707,1831,892,South Dakota St.,13,64,64,57
2022,1706,1830,914,LSU,6,64,64,54
2022,1705,1829,920,Iowa St.,11,16,64,59
2022,1704,1828,879,Wisconsin,3,32,64,67
2022,1703,1827,933,Colgate,14,64,64,60
2022,1702,1826,883,USC,7,64,64,66
2022,1701,1825,911,Miami FL,10,8,64,68
2022,1700,1824,939,Auburn,2,32,64,80
2022,1699,1823,919,Jacksonville St.,15,64,64,61
2022,1698,928,925,Gonzaga,1,16,32,82
2022,1697,927,912,Memphis,9,32,32,78
2022,1696,926,906,New Mexico St.,12,32,32,48
2022,1695,925,940,Arkansas,4,8,32,53
2022,1694,924,903,Notre Dame,11,32,32,53
2022,1693,923,886,Texas Tech,3,16,32,59
2022,1692,922,909,Michigan St.,7,32,32,76
2022,1691,921,927,Duke,2,4,32,85
2022,1690,920,938,Baylor,1,32,32,86
2022,1689,919,904,North Carolina,8,2,32,93
2022,1688,918,897,Saint Mary's,5,32,32,56
2022,1687,917,884,UCLA,4,16,32,72
2022,1686,916,889,Texas,6,32,32,71
2022,1685,915,900,Purdue,3,16,32,81
2022,1684,914,907,Murray St.,7,32,32,60
2022,1683,913,896,Saint Peter's,15,8,32,70
2022,1682,912,941,Arizona,1,16,32,85
2022,1681,911,891,TCU,9,32,32,80
2022,1680,910,924,Houston,5,8,32,68
2022,1679,909,923,Illinois,4,32,32,53
2022,1678,908,910,Michigan,11,16,32,76
2022,1677,907,890,Tennessee,3,32,32,68
2022,1676,906,902,Ohio St.,7,32,32,61
2022,1675,905,881,Villanova,2,4,32,71
2022,1674,904,918,Kansas,1,1,32,79
2022,1673,903,930,Creighton,9,32,32,72
2022,1672,902,899,Richmond,12,32,32,51
2022,1671,901,901,Providence,4,16,32,79
2022,1670,900,920,Iowa St.,11,16,32,54
2022,1669,899,879,Wisconsin,3,32,32,49
2022,1668,898,911,Miami FL,10,8,32,79
2022,1667,897,939,Auburn,2,32,32,61
2022,1666,448,925,Gonzaga,1,16,16,68
2022,1665,447,940,Arkansas,4,8,16,74
2022,1664,446,886,Texas Tech,3,16,16,73
2022,1663,445,927,Duke,2,4,16,78
2022,1662,444,904,North Carolina,8,2,16,73
2022,1661,443,884,UCLA,4,16,16,66
2022,1660,442,900,Purdue,3,16,16,64
2022,1659,441,896,Saint Peter's,15,8,16,67
2022,1658,440,941,Arizona,1,16,16,60
2022,1657,439,924,Houston,5,8,16,72
2022,1656,438,910,Michigan,11,16,16,55
2022,1655,437,881,Villanova,2,4,16,63
2022,1654,436,918,Kansas,1,1,16,66
2022,1653,435,901,Providence,4,16,16,61
2022,1652,434,920,Iowa St.,11,16,16,56
2022,1651,433,911,Miami FL,10,8,16,70
2022,1650,208,940,Arkansas,4,8,8,69
2022,1649,207,927,Duke,2,4,8,78
2022,1648,206,904,North Carolina,8,2,8,69
2022,1647,205,896,Saint Peter's,15,8,8,49
2022,1646,204,924,Houston,5,8,8,44
2022,1645,203,881,Villanova,2,4,8,50
2022,1644,202,918,Kansas,1,1,8,76
2022,1643,201,911,Miami FL,10,8,8,50
2022,1642,88,927,Duke,2,4,4,77
2022,1641,87,904,North Carolina,8,2,4,81
2022,1640,86,881,Villanova,2,4,4,65
2022,1639,85,918,Kansas,1,1,4,81
2022,1638,28,904,North Carolina,8,2,2,69
2022,1637,27,918,Kansas,1,1,2,72
2021,1636,1822,856,Gonzaga,1,2,64,98
2021,1635,1821,839,Norfolk St.,16,64,64,55
2021,1634,1820,834,Oklahoma,8,32,64,72
2021,1633,1819,842,Missouri,9,64,64,68
2021,1632,1818,864,Creighton,5,16,64,63
2021,1631,1817,820,UC Santa Barbara,12,64,64,62
2021,1630,1816,813,Virginia,4,64,64,58
2021,1629,1815,836,Ohio,13,32,64,62
2021,1628,1814,817,USC,6,8,64,72
2021,1627,1813,863,Drake,11,64,64,56
2021,1626,1812,849,Kansas,3,32,64,93
2021,1625,1811,861,Eastern Washington,14,64,64,84
2021,1624,1810,850,Iowa,2,32,64,86
2021,1623,1809,855,Grand Canyon,15,64,64,74
2021,1622,1808,844,Michigan,1,8,64,82
2021,1621,1807,822,Texas Southern,16,64,64,66
2021,1620,1806,846,LSU,8,32,64,76
2021,1619,1805,826,St. Bonaventure,9,64,64,61
2021,1618,1804,866,Colorado,5,32,64,96
2021,1617,1803,858,Georgetown,12,64,64,73
2021,1616,1802,859,Florida St.,4,16,64,64
2021,1615,1801,818,UNC Greensboro,13,64,64,54
2021,1614,1800,870,BYU,6,64,64,62
2021,1613,1799,819,UCLA,11,4,64,73
2021,1612,1798,823,Texas,3,64,64,52
2021,1611,1797,875,Abilene Christian,14,32,64,53
2021,1610,1796,865,Connecticut,7,64,64,54
2021,1609,1795,845,Maryland,10,32,64,63
2021,1608,1794,874,Alabama,2,16,64,68
2021,1607,1793,851,Iona,15,64,64,55
2021,1606,1792,871,Baylor,1,1,64,79
2021,1605,1791,854,Hartford,16,64,64,55
2021,1604,1790,838,North Carolina,8,64,64,62
2021,1603,1789,808,Wisconsin,9,32,64,85
2021,1602,1788,814,Villanova,5,16,64,73
2021,1601,1787,809,Winthrop,12,64,64,63
2021,1600,1786,829,Purdue,4,64,64,69
2021,1599,1785,837,North Texas,13,32,64,78
2021,1598,1784,821,Texas Tech,6,32,64,65
2021,1597,1783,816,Utah St.,11,64,64,53
2021,1596,1782,872,Arkansas,3,8,64,85
2021,1595,1781,867,Colgate,14,64,64,68
2021,1594,1780,860,Florida,7,32,64,75
2021,1593,1779,812,Virginia Tech,10,64,64,70
2021,1592,1778,835,Ohio St.,2,64,64,72
2021,1591,1777,832,Oral Roberts,15,16,64,75
2021,1590,1776,852,Illinois,1,32,64,78
2021,1589,1775,862,Drexel,16,64,64,49
2021,1588,1774,847,Loyola Chicago,8,16,64,71
2021,1587,1773,857,Georgia Tech,9,64,64,60
2021,1586,1772,824,Tennessee,5,64,64,56
2021,1585,1771,830,Oregon St.,12,8,64,70
2021,1584,1770,833,Oklahoma St.,4,32,64,69
2021,1583,1769,848,Liberty,13,64,64,60
2021,1582,1768,827,San Diego St.,6,64,64,62
2021,1581,1767,825,Syracuse,11,16,64,78
2021,1580,1766,811,West Virginia,3,32,64,84
2021,1579,1765,841,Morehead St.,14,64,64,67
2021,1578,1764,869,Clemson,7,64,64,56
2021,1577,1763,828,Rutgers,10,32,64,60
2021,1576,1762,853,Houston,2,4,64,87
2021,1575,1761,868,Cleveland St.,15,64,64,56
2021,1574,896,856,Gonzaga,1,2,32,87
2021,1573,895,834,Oklahoma,8,32,32,71
2021,1572,894,864,Creighton,5,16,32,72
2021,1571,893,836,Ohio,13,32,32,58
2021,1570,892,817,USC,6,8,32,85
2021,1569,891,849,Kansas,3,32,32,51
2021,1568,890,831,Oregon,7,16,32,95
2021,1567,889,850,Iowa,2,32,32,80
2021,1566,888,844,Michigan,1,8,32,86
2021,1565,887,846,LSU,8,32,32,78
2021,1564,886,866,Colorado,5,32,32,53
2021,1563,885,859,Florida St.,4,16,32,71
2021,1562,884,819,UCLA,11,4,32,67
2021,1561,883,875,Abilene Christian,14,32,32,47
2021,1560,882,845,Maryland,10,32,32,77
2021,1559,881,874,Alabama,2,16,32,96
2021,1558,880,871,Baylor,1,1,32,76
2021,1557,879,808,Wisconsin,9,32,32,63
2021,1556,878,814,Villanova,5,16,32,84
2021,1555,877,837,North Texas,13,32,32,61
2021,1554,876,821,Texas Tech,6,32,32,66
2021,1553,875,872,Arkansas,3,8,32,68
2021,1552,874,860,Florida,7,32,32,78
2021,1551,873,832,Oral Roberts,15,16,32,81
2021,1550,872,852,Illinois,1,32,32,58
2021,1549,871,847,Loyola Chicago,8,16,32,71
2021,1548,870,830,Oregon St.,12,8,32,80
2021,1547,869,833,Oklahoma St.,4,32,32,70
2021,1546,868,825,Syracuse,11,16,32,75
2021,1545,867,811,West Virginia,3,32,32,72
2021,1544,866,828,Rutgers,10,32,32,60
2021,1543,865,853,Houston,2,4,32,63
2021,1542,432,856,Gonzaga,1,2,16,83
2021,1541,431,864,Creighton,5,16,16,65
2021,1540,430,817,USC,6,8,16,82
2021,1539,429,831,Oregon,7,16,16,68
2021,1538,428,844,Michigan,1,8,16,76
2021,1537,427,859,Florida St.,4,16,16,58
2021,1536,426,819,UCLA,11,4,16,88
2021,1535,425,874,Alabama,2,16,16,78
2021,1534,424,871,Baylor,1,1,16,62
2021,1533,423,814,Villanova,5,16,16,51
2021,1532,422,872,Arkansas,3,8,16,72
2021,1531,421,832,Oral Roberts,15,16,16,70
2021,1530,420,847,Loyola Chicago,8,16,16,58
2021,1529,419,830,Oregon St.,12,8,16,65
2021,1528,418,825,Syracuse,11,16,16,46
2021,1527,417,853,Houston,2,4,16,62
2021,1526,200,856,Gonzaga,1,2,8,85
2021,1525,199,817,USC,6,8,8,66
2021,1524,198,844,Michigan,1,8,8,49
2021,1523,197,819,UCLA,11,4,8,51
2021,1522,196,871,Baylor,1,1,8,81
2021,1521,195,872,Arkansas,3,8,8,72
2021,1520,194,830,Oregon St.,12,8,8,61
2021,1519,193,853,Houston,2,4,8,67
2021,1518,84,856,Gonzaga,1,2,4,93
2021,1517,83,819,UCLA,11,4,4,90
2021,1516,82,871,Baylor,1,1,4,78
2021,1515,81,853,Houston,2,4,4,59
2021,1514,26,856,Gonzaga,1,2,2,70
2021,1513,25,871,Baylor,1,1,2,86
2019,1512,1760,798,Duke,1,8,64,85
2019,1511,1759,768,North Dakota St.,16,64,64,62
2019,1510,1758,748,VCU,8,64,64,58
2019,1509,1757,750,UCF,9,32,64,73
2019,1508,1756,775,Mississippi St.,5,64,64,76
2019,1507,1755,784,Liberty,12,32,64,80
2019,1506,1754,744,Virginia Tech,4,16,64,66
2019,1505,1753,759,Saint Louis,13,64,64,52
2019,1504,1752,780,Maryland,6,32,64,79
2019,1503,1751,803,Belmont,11,64,64,77
2019,1502,1750,782,LSU,3,16,64,79
2019,1501,1749,740,Yale,14,64,64,74
2019,1500,1748,783,Louisville,7,64,64,76
2019,1499,1747,777,Minnesota,10,32,64,86
2019,1498,1746,778,Michigan St.,2,4,64,76
2019,1497,1745,802,Bradley,15,64,64,65
2019,1496,1744,792,Gonzaga,1,8,64,87
2019,1495,1743,797,Fairleigh Dickinson,16,64,64,49
2019,1494,1742,755,Syracuse,8,64,64,69
2019,1493,1741,804,Baylor,9,32,64,78
2019,1492,1740,781,Marquette,5,64,64,64
2019,1491,1739,773,Murray St.,12,32,64,83
2019,1490,1738,795,Florida St.,4,16,64,76
2019,1489,1737,747,Vermont,13,64,64,69
2019,1488,1736,801,Buffalo,6,32,64,91
2019,1487,1735,806,Arizona St.,11,64,64,74
2019,1486,1734,752,Texas Tech,3,2,64,72
2019,1485,1733,766,Northern Kentucky,14,64,64,57
2019,1484,1732,772,Nevada,7,64,64,61
2019,1483,1731,796,Florida,10,32,64,70
2019,1482,1730,779,Michigan,2,16,64,74
2019,1481,1729,774,Montana,15,64,64,55
2019,1480,1728,745,Virginia,1,1,64,71
2019,1479,1727,794,Gardner Webb,16,64,64,56
2019,1478,1726,776,Mississippi,8,64,64,72
2019,1477,1725,764,Oklahoma,9,32,64,95
2019,1476,1724,742,Wisconsin,5,64,64,54
2019,1475,1723,762,Oregon,12,16,64,72
2019,1474,1722,786,Kansas St.,4,64,64,64
2019,1473,1721,751,UC Irvine,13,32,64,70
2019,1472,1720,746,Villanova,6,32,64,61
2019,1471,1719,758,Saint Mary's,11,64,64,57
2019,1470,1718,760,Purdue,3,8,64,61
2019,1469,1717,763,Old Dominion,14,64,64,48
2019,1468,1716,800,Cincinnati,7,64,64,72
2019,1467,1715,789,Iowa,10,32,64,79
2019,1466,1714,753,Tennessee,2,16,64,77
2019,1465,1713,799,Colgate,15,64,64,70
2019,1464,1712,770,North Carolina,1,16,64,88
2019,1463,1711,790,Iona,16,64,64,73
2019,1462,1710,749,Utah St.,8,64,64,61
2019,1461,1709,743,Washington,9,32,64,78
2019,1460,1708,805,Auburn,5,4,64,78
2019,1459,1707,771,New Mexico St.,12,64,64,77
2019,1458,1706,787,Kansas,4,32,64,87
2019,1457,1705,767,Northeastern,13,64,64,52
2019,1456,1704,788,Iowa St.,6,64,64,59
2019,1455,1703,765,Ohio St.,11,32,64,62
2019,1454,1702,791,Houston,3,16,64,84
2019,1453,1701,793,Georgia St.,14,64,64,55
